term,doc_count,doc_pct
primary suite,316,31.6
floor plan,309,30.9
living room,278,27.8
living space,278,27.8
natural light,256,25.6
home offers,254,25.4
walk-in closet,191,19.1
stainless steel,182,18.2
dining area,173,17.3
everyday living,171,17.1
conveniently located,167,16.7
located near,162,16.2
square feet,157,15.7
steel appliances,154,15.4
home office,147,14.7
family room,146,14.6
home features,141,14.1
laundry room,136,13.6
rare opportunity,125,12.5
property offers,118,11.8
quartz countertops,117,11.7
easy access,114,11.4
thoughtfully designed,108,10.8
move-in ready,107,10.7
living area,98,9.8
ideally located,97,9.7
step outside,94,9.4
spacious living,93,9.3
spacious primary,93,9.3
kitchen features,93,9.3
covered patio,91,9.1
full bathroom,86,8.6
soaking tub,86,8.6
living areas,86,8.6
dining room,86,8.6
step inside,85,8.5
living spaces,85,8.5
direct access,83,8.3
main level,83,8.3
recessed lighting,83,8.3
highlights include,83,8.3
granite countertops,82,8.2
flooring throughout,82,8.2
primary bedroom,82,8.2
abundant natural,81,8.1
outdoor living,80,8.0
beautifully maintained,79,7.9
additional bedrooms,78,7.8
main living,78,7.8
two-car garage,76,7.6
generously sized,76,7.6
comfortable living,75,7.5
additional highlights,73,7.3
suite offers,72,7.2
convenient access,71,7.1
highly desirable,71,7.1
beautifully updated,70,7.0
open floor,70,7.0
residence offers,70,7.0
sq ft,69,6.9
formal dining,69,6.9
vaulted ceilings,67,6.7
morning coffee,66,6.6
private backyard,66,6.6
full bath,65,6.5
great room,65,6.5
private retreat,65,6.5
center island,65,6.5
water heater,64,6.4
car garage,62,6.2
cozy fireplace,62,6.2
perfect blend,62,6.2
walk-in shower,61,6.1
fitness center,60,6.0
indoor-outdoor living,58,5.8
fruit trees,57,5.7
features include,57,5.7
los angeles,57,5.7
hardwood floors,56,5.6
two additional,56,5.6
mountain views,56,5.6
private balcony,56,5.6
dual vanities,55,5.5
spacious bedrooms,54,5.4
highly sought-after,54,5.4
bonus room,53,5.3
soaring ceilings,53,5.3
curb appeal,53,5.3
air conditioning,53,5.3
southern california,52,5.2
outdoor space,51,5.1
wood flooring,51,5.1
remodeled kitchen,51,5.1
golf course,50,5.0
updated kitchen,50,5.0
breakfast bar,49,4.9
sparkling pool,49,4.9
also features,48,4.8
resort-style amenities,48,4.8
interior paint,48,4.8
flows seamlessly,47,4.7
fresh interior,47,4.7
gated community,47,4.7
tennis courts,47,4.7
gourmet kitchen,47,4.7
sliding glass,47,4.7
multigenerational living,47,4.7
brand new,47,4.7
swimming pool,47,4.7
walking distance,45,4.5
located within,45,4.5
residents enjoy,45,4.5
dining areas,45,4.5
school district,45,4.5
near shopping,44,4.4
home also,44,4.4
corner lot,44,4.4
laminate flooring,44,4.4
no hoa,43,4.3
ceiling fans,43,4.3
tile flooring,43,4.3
formal living,42,4.2
beautifully landscaped,42,4.2
community amenities,42,4.2
plank flooring,42,4.2
glass doors,41,4.1
dual sinks,41,4.1
open-concept layout,40,4.0
high ceilings,40,4.0
open-concept floor,40,4.0
media room,40,4.0
upgrades include,40,4.0
rv parking,39,3.9
freeway access,39,3.9
amenities include,39,3.9
attached garage,39,3.9
amenities including,39,3.9
beautifully remodeled,39,3.9
fire pit,39,3.9
new flooring,38,3.8
property also,38,3.8
also offers,38,3.8
owned solar,38,3.8
counter space,38,3.8
large walk-in,38,3.8
parking spaces,38,3.8
panoramic views,38,3.8
private patio,38,3.8
indoor laundry,37,3.7
community pool,37,3.7
rental income,37,3.7
seamless indoor-outdoor,37,3.7
endless possibilities,37,3.7
walk-in closets,37,3.7
mature landscaping,37,3.7
additional storage,37,3.7
beautifully appointed,36,3.6
room features,36,3.6
suite features,36,3.6
san diego,36,3.6
multi-generational living,36,3.6
exceptional opportunity,36,3.6
tankless water,36,3.6
full bathrooms,35,3.5
front door,35,3.5
peaceful retreat,35,3.5
also includes,35,3.5
outdoor kitchen,35,3.5
major freeways,35,3.5
french doors,35,3.5
attached two-car,35,3.5
perfect setting,34,3.4
custom cabinetry,34,3.4
in-unit laundry,34,3.4
solar panels,34,3.4
home located,34,3.4
luxury vinyl,34,3.4
minutes away,33,3.3
home offering,33,3.3
modern finishes,33,3.3
rare combination,33,3.3
ideally situated,33,3.3
everyday convenience,33,3.3
outdoor dining,33,3.3
dual-pane windows,33,3.3
vinyl plank,33,3.3
spacious kitchen,32,3.2
sized bedrooms,32,3.2
investment opportunity,32,3.2
solar system,31,3.1
new roof,31,3.1
plantation shutters,31,3.1
within walking,31,3.1
tucked away,31,3.1
front yard,31,3.1
square foot,31,3.1
hiking trails,31,3.1
move-in-ready home,31,3.1
offers approximately,31,3.1
inviting atmosphere,30,3.0
