L_ListingID,L_Address,L_City,beds,baths,price,remarks
1190222255,39909 Via Castana,Murrieta,5.0,4.0,665000,"Picture yourself in this welcoming TURNKEY  5-bedroom, 4-bathroom CORNER home with 2,520 sq ft. Highlights that make this home special include granite countertops, newly painted interior, multiple fireplaces, and a wet bar for entertaining. Solid surface floors throughout with indoor laundry room and one bedroom and full bathroom downstairs. Backyard has newer vinyl fencing with two gates, POTENTIAL RV PARKING and fruit trees. LOW TAXES and NO HOA.  Near shopping and easy freeway access. Priced to sell. This is an incredible opportunity to own a home you will truly love. Come see your future home! Schedule a showing today."
1173177296,21999 Fallview,Sonora,4.0,3.0,385000,"Welcome to this extremely clean turn key home. This single story home shows like new, boasting 4 bedrooms, 3 full baths and 2 master suites. New kitchen counter tops, stainless steel appliances and large pantry / laundry room. Slider door off kitchen to private deck with view of Crystal Falls. The master suite opens to the deck as well. The Livingroom free standing pellet stove is new as well as the custom window shutters, new flooring and paint throughout. RV parking. Community pool and clubhouse. Enjoy hiking, biking, playing golf and fishing in the area. Just minutes away from Yosemite National Park,  Pinecrest Lake Resort, Dodge Ridge Ski Area, New Malones Reservoir Don Pedro Lake with other rivers, and streams ."
1176554415,3391 Scarboro,Los Angeles,3.0,3.0,1400000,"Featuring 3 bedrooms, including 2 master suites, 3 full bathrooms, a large bonus room, a living room with dining area, a separate family room, and a spacious kitchen with a breakfast area, this home offers plenty of room for comfortable living. The property also offers ample parking and plenty of space for family gatherings and guests.
This home has been lovingly maintained and is ready for its next owner. If you're looking for space, comfort, and value, this is a property you won't want to miss."
1176005414,11063 Kibbins,Stanton,2.0,1.0,605000,"Beautiful condo in the city of Stanton. This condo has shown up as a condo/town house as well in this area. This is turn key nothing needed and features 2 large size bed rooms with individual sliding doors leading to back patio and 1 full bath room, living room, nice patio for family BBQ'S between home and garage, you also have a nice extra patio next to kitchen to relax and take some sun in, condo also features an out door housing shed for washer and drying with a 2 car garage. This condo also Sits across the street of kids play ground. This is a truly a great place to live."
1179547557,60582 Silver Torch Circle,La Quinta,3.0,2.0,596000,"Stylish and sophisticated, the Monarch plan is ideally positioned on a private cul-de-sac, showcasing an oversized homesite with an enviable location just moments from resort-style amenities and world-class entertainment. Offering 1,819 square feet of thoughtfully designed living space, this single-family residence features three bedrooms and two bathrooms. A striking glass-etched entry door welcomes you into the inviting great room, where a custom shiplap-accented TV/media niche, crown molding, designer window treatments, and captivating views of the rear yard create an elegant yet comfortable ambiance. Adjacent to the dining area, the chef-inspired kitchen is beautifully appointed with double ovens, a generous prep island, breakfast bar with stylish pendant lighting, glass backsplash, and slab granite countertops. The serene primary retreat features a charming bay window and a luxurious en suite bath complete with dual vanities, an oversized walk-in shower, and spacious walk-in closet--an exceptional blend of style, comfort, and resort living. Guest accommodations afford privacy and comfort for all visiting friends and family. Big rear yard, including a putting green, covered patio, tiled patio and serene water feature."
1176150991,32933 Success Valley Drive,Porterville,6.0,6.0,939900,"Seller is open to helping with an interest rate buy-down with acceptable offer. Welcome to this rare 6.24-acre private family estate in beautiful Success Valley, just 3 minutes from Lake Success. Where having your own private pond just steps from your door is your reality, and being surrounded by peaceful hills and total privacy is no longer a dream. Backed by valuable water shares, this fully fenced property offers the best of both worlds: a serene, private retreat with room for everyone and everything you love.The spacious 4,665 sq ft main home provides generous living for family and guests, while the private 1,294 sq ft detached ADU offers flexible space for extended family, guests, or rental income. Whether you're raising animals, parking RVs and toys, or simply enjoying the wide-open space, this property gives you true freedom and versatility.Wake up to stunning Sierra foothill views, enjoy quiet mornings by the water, and create lasting memories in a place that feels like a true sanctuary. All of this, just a short drive to local recreation, dining, and everyday conveniences. A special opportunity to own a one of a kind property with incredible water security now offered at a compelling new price point. Your private valley haven is waiting. Come see it for yourself. A 220 outlet is present that can be used for EV charging by the carport per seller. Seller is willing to pay for a one-year home warranty and a well and septic certificate with acceptable offer. Water Shares provided by South Tule Independent Ditch Water."
1175839277,2171 Monterey Avenue,Santa Clara,3.0,2.0,1949999,"Experience the perfect synergy of cozy and convenience in this meticulously maintained 3-bedroom, 2-bathroom residence. Situated in a premier Santa Clara neighborhood, this home offers a ""turn-key"" lifestyle designed for the modern professional. This home is in pristine condition, boasting a fresh, inviting atmosphere from the moment you step through the front door.  Refined Interiors: Enjoy high-end engineered flooring and energy-efficient double-paned windows throughout.  Neat Kitchen & Baths: Fully upgraded spaces featuring sleek granite countertops and contemporary finishes.  Private Master Retreat: The spacious master suite offers direct access to the backyard, providing a seamless indoor-outdoor transition and a peaceful escape.  A sophisticated paver-stone driveway leads to the home, complemented by a dedicated front parking space ideal for an RV or guest parking.  With a significant By upgrading to 400A, Seamlessly support multiple high-speed Level 2 EV chargers without worrying about overloading the system.  Live at the center of innovation. This property places you just minutes away from the worlds leading tech hubs, including NVIDIA, Apple, Google, Major Silicon Valley Tech Campuses"
1170882966,8132 Wagon Wheel Court,Rosemead,4.0,3.0,1285000,"Welcome to this beautiful two-story home on a quiet cul-de-sac street in the heart of Rosemead. Conveniently located near San Gabriel Blvd with easy access to the 60 Freeway, GW Supermarket, Walmart, and local shopping centers. Step inside to a dramatic double-height entry with soaring ceilings, an elegant chandelier, and gleaming hardwood floors that flow throughout. The spacious living room features large bay windows and a charming fireplace. The generous kitchen offers ample oak cabinetry and opens to the dining area with views of the lush backyard. One bedroom and full bathroom conveniently located on the main level. Upstairs, the oversized primary suite boasts a luxurious en-suite with dual vanities, soaking tub, and separate walk-in shower. Freshly painted throughout — bright and move-in ready. The backyard is a gardener's paradise with a thriving grape vine trellis, raised garden beds, and multiple mature fruit trees. 2-car garage. No HOA. A must-see!"
1186180584,10912 Matilija,Apple Valley,3.0,2.0,285000,"Welcome to 10912 Matilija Rd, a charming 3-bedroom, 1.5 bathrooms home offering 909 sq. ft. of living space on an expansive 54,450 sq. ft. lot. Built in 1954, this property presents a wonderful opportunity for buyers looking for space, privacy, and potential. The generous lot provides ample room for outdoor enjoyment, gardening, recreation, or future possibilities. With its classic character and manageable floor plan, this home offers a solid foundation to make it your own. Whether you're looking for a comfortable residence, a property with room to grow, or an opportunity to add your personal touches, 10912 Matilija Rd is ready to be discovered."
1146111620,2010 Conadria Ave,Chowchilla,4.0,2.0,379000,"Welcome to this beautiful 4-bedroom, 2-bath home in the heart of Chowchilla, CA, where comfort, style, and space come together effortlessly. With 1,769 sq. ft. of open-concept living, this home offers the perfect setting for both relaxation and entertaining.
Step inside to a bright and airy floor plan that flows seamlessly from the inviting living area to the modern kitchen, complete with ample counter space, cabinetry, and room to gather around. The spacious bedrooms provide plenty of comfort for family or guests, while the primary suite offers a peaceful retreat with its own private bathroom.  This home is also equipped with a fully OWNED solar system to help keep the utility bills down on those warm summer months! 
Outside, a beautiful yard set on an impressive 8,062 sq. ft. lot awaits. With a little work, enjoy your perfect backyard made for BBQs, outdoor games, or simply soaking up the Chowchilla sunshine. There’s plenty of room to make this outdoor space your own oasis! 
With its generous layout, modern feel, and welcoming charm, this home is ready to make new memories. Don’t miss your chance to call this Chowchilla beauty your own!"
